Position,Number,Driver,Constructor,Laps,Time/Retired,Grid,Points
1,33,Netherlands Max Verstappen,Red Bull Racing-Honda,71,1:22:18.925,1,25
2,44,United Kingdom Lewis Hamilton,Mercedes,71,+35.743,2,19
3,77,Finland Valtteri Bottas,Mercedes,71,+46.907,5,15
4,11,Mexico Sergio Pérez,Red Bull Racing-Honda,71,+47.434,4,12
5,4,United Kingdom Lando Norris,McLaren-Mercedes,70,+1 lap,3,10
6,55,Spain Carlos Sainz Jr.,Ferrari,70,+1 lap,12,8
7,16,Monaco Charles Leclerc,Ferrari,70,+1 lap,7,6
8,18,Canada Lance Stroll,Aston Martin-Mercedes,70,+1 lap,9,4
9,14,Spain Fernando Alonso,Alpine-Renault,70,+1 lap,8,2
10,22,Japan Yuki Tsunoda,AlphaTauri-Honda,70,+1 lap,11,1
11,7,Finland Kimi Räikkönen,Alfa Romeo Racing-Ferrari,70,+1 lap,18,
12,5,Germany Sebastian Vettel,Aston Martin-Mercedes,70,+1 lap,14,
13,3,Australia Daniel Ricciardo,McLaren-Mercedes,70,+1 lap,13,
14,31,France Esteban Ocon,Alpine-Renault,70,+1 lap,17,
15,99,Italy Antonio Giovinazzi,Alfa Romeo Racing-Ferrari,70,+1 lap,15,
16,47,Germany Mick Schumacher,Haas-Ferrari,69,+2 laps,19,
17,6,Canada Nicholas Latifi,Williams-Mercedes,68,+3 laps,16,
18,9,Russian Automobile Federation Nikita Mazepin,Haas-Ferrari,68,+3 laps,20,
Ret,63,United Kingdom George Russell,Williams-Mercedes,36,Power unit,10,
Ret,10,France Pierre Gasly,AlphaTauri-Honda,1,Collision,6,
